Post ID,Post creation date,Post message,Post type,Post impressions,Post organic reach,% of reach from paid,% of reach from organic,Post reach,Shares on posts,Total post reactions,Post photo views,Video views,Comments on posts,Shares on shares,Organic video views,Post link clicks,RowHash
108778868994125_122217656714027157,2025-01-10,"Comment ‘CLASS’ to sign up to my free masterclass series! Breaking down what your child needs to thrive through your divorce. 

You’ve got this muma! 💖💪

#singlemums #singlemumsuk #singlemumuk #singlemumlife #solomums #singlemomlife #singlemoms #singlemother #coparenting #singleparents #singleparenting #divorcedparents #divorcedmum #divorcedmom #lifeafterdivorce #divorce #divorcecoach #divorcecommunity #divorcewithkids #supportingchrildrenthroughdivorce #separationwithkids #childcentereddivorce #parentinganddivorce #parentingduringdivorce #mumanxiety #parentingguide #mumguilt #mumguiltisreal",multi_share,120,115,0,100,115,0,0,0,0,0,0,0,0,27fe2ec5f8fc670c0693d61a2160bad9a3ab85fc9ea03500db4cee0ae688d6ad
108778868994125_122217248948027157,2025-01-08,"Comment ‘CLASS’ to sign up to my free masterclass series! 
Breaking down what your child needs to thrive through your divorce. 

You’ve got this muma! 💖💪

#singlemums #singlemumsuk #singlemumuk #singlemumlife #solomums #singlemomlife #singlemoms #singlemother #coparenting #singleparents #singleparenting #divorcedparents #divorcedmum #divorcedmom #lifeafterdivorce #divorce #divorcecoach #divorcecommunity #divorcewithkids #supportingchrildrenthroughdivorce #separationwithkids #childcentereddivorce #parentinganddivorce #parentingduringdivorce #mumanxiety #parentingguide #mumguilt #mumguiltisreal",multi_share,124,121,0,100,121,0,0,0,0,0,0,0,0,a1dccb458679c01cc6a6e9430441f25a388be29d58c5e0c69e64303aaad10a28
108778868994125_122217087140027157,2025-01-07,"Comment ‘CLASS’ to sign up to my free masterclass series! 
Breaking down what your child needs to thrive through your divorce. 

You’ve got this muma! 💖💪

#singlemums #singlemumsuk #singlemumuk #singlemumlife #solomums #singlemomlife #singlemoms #singlemother #coparenting #singleparents #singleparenting #divorcedparents #divorcedmum #divorcedmom #lifeafterdivorce #divorce #divorcecoach #divorcecommunity #divorcewithkids #supportingchrildrenthroughdivorce #separationwithkids #childcentereddivorce #parentinganddivorce #parentingduringdivorce #mumanxiety #parentingguide #mumguilt #mumguiltisreal",album,154,151,0,100,151,0,0,3,0,0,0,0,0,7ed9ca32cffe18345d2fff094406aa7b9d4462afb83def53eae274d34197a996
108778868994125_122208409934027157,2024-11-18,"I HOPE MY DAUGHTER DOESN'T ACCEPT THINGS I'VE ACCEPTED, THAT SHE KNOWS HER WORTH FROM THE START AND KNOWS SHE ALWAYS HAS ME IN HER CORNER.
I am a therapist and divorced mum, and I am running a free masterclass to show you how.
Comment 'Class' to sign up.
 #mumanxiety #mumguilt #mumguiltisreal #divorcecommunity #lifeafterdivorce #divorcedparents #divorcedmum #divorcedmom #divorce",multi_share,65,62,0,100,62,0,2,0,0,0,0,0,2,6ad8761d17d7e59b5cdf2444f4984849180cef98ea7074628c73ddb669a1bbbe
108778868994125_122208263468027157,2024-11-17,"Comment 'CLASS' below and I will DM you an exclusive link to sign up FREE for the live masterclass 👇
 #mumanxiety #mumguilt #mumguiltisreal #divorcewithkids #separationwithkids #coparenting #supportingchildrenthroughdivorce #childcentereddivorce #parentinganddivorce #parentingduringdivorce",multi_share,64,64,0,100,64,0,1,0,0,1,0,0,0,69fea3e279b8f89ac9af506642269514c6c9d6e9071a592a48f13ad3595a00df
108778868994125_122208088346027157,2024-11-16,"8 reminders you need to hear today as a divorced mum...
Comment 'Class' and I'll send you a link to sign up!
 #mumanxiety #mumguilt #mumguiltisreal #divorcewithkids #separationwithkids #coparenting #supportingchildrenthroughdivorce #childcentereddivorce #parentinganddivorce #parentingduringdivorce #parentingguide",album,144,144,0,100,144,0,4,24,0,1,0,0,0,71d7f10e02778f693c6ec2d0a204212361088e4018a75a003d8fc6071a09839d
108778868994125_122207925374027157,2024-11-15,"Single mums:
I am running a free masterclass series on how to support your children to thrive through divorce.
Comment 'Class' to sign up.
 #mumanxiety #mumguilt #mumguiltisreal #divorcewithkids #separationwithkids #coparenting #supportingchildrenthroughdivorce #childcentereddivorce #parentinganddivorce #parentingduringdivorce #parentingguide",photo,193,193,0,100,193,0,4,0,0,2,0,0,0,3a4b4395007cb32f17dd4567c50805aa500a9f223db04bc555e874d3ba3fc804
108778868994125_122207701736027157,2024-11-14,"I am running a free masterclass series that will teach you how to get it right for your kids through divorce. Spaces are limited.
Comment 'Class' to sign up.
 #mumanxiety #mumguilt #mumguiltisreal #divorcewithkids #separationwithkids #coparenting #supportingchildrenthroughdivorce #childcentereddivorce",album,184,181,0,100,181,1,2,5,0,0,0,0,0,e622efc9f674c85e693e4793e90a0ed1447b91e03141d66db382570eef485532
108778868994125_122207623670027157,2024-11-13,"I don’t know who needs to hear this but divorce doesn’t have to be the end of your child’s happy childhood, it can be the beginning of it…
I am a therapist and divorced mum, and I am running a free masterclass to show you how. Comment 'Class' to sign up. 💖💪
 #mumanxiety #mumguilt #mumguiltisreal  #singlemums #singlemumuk #singlemumlife #solomums #singlemomlife #singlemoms #singlemother",multi_share,108,108,0,100,108,0,2,0,0,0,0,0,1,d32536803d98f32f0fd85057d85b75993ae9861d14e9807ea4ac49112c931501
108778868994125_122207455772027157,2024-11-12,"Comment 'Class' and I will DM you a link. 
From a therapist and fellow separated mum, you've got this!
 #mumanxiety #mumguilt #mumguiltisreal #singlemums #singlemumuk #singlemumlife #solomums #singlemomlife #singlemoms #singlemother #singleparents",album,139,137,0,100,137,0,2,0,0,4,0,0,0,6d493928ecc0330b874fdc3eb6c8a4e1a155a7517386232fda8e414b79a8a21e
108778868994125_122207159096027157,2024-11-10,"Comment 'CLASS' below and I will DM you an exclusive link to sign up FREE for the live masterclass 👇 

#divorcecommunity #lifeafterdivorce #divorcedparents #divorcedmum #divorcedmom #divorce #mumanxiety #mumguilt #mumguiltisreal",multi_share,127,126,0,100,126,0,1,0,0,6,0,0,0,4187b556b613a55b88fd3aeceb8a31498d174d3ed7e28e058bbec0405de98b80
108778868994125_122204122946027157,2024-10-22,"Comment 'CLASS' below and I will DM you an exclusive link to sign up FREE for the live masterclass 👇 
#singlemums #singlemumuk #singlemumlife #solomums #singlemomlife #singlemoms #singlemother #singleparents",multi_share,265,262,0,100,262,0,2,0,0,4,0,0,0,3d8c25ebe15084fe0fabff0b1053573aa1e96d74883267f9bdc9374588610372
108778868994125_122196906722027157,2024-09-11,"Single mums: ‘I feel like I failed my kids by not being able to give them a 2 parent home.'
If you feel like this I need you to know that the science says your child only needs one secure attachment figure in order to thrive.'
I am a therapist and divorced mum, and I am running a free masterclass to show you how to ensure your children thrive through divorce and beyond. 
Comment 'Class' to sign up.
 #mumanxiety #mumguilt #mumguiltisreal #divorcecommunity #lifeafterdivorce #divorce #divorcewithkids #separationwithkids #coparenting #supportingchildrenthroughdivorce #childcentereddivorce",multi_share,806,788,0,100,788,1,7,0,0,6,0,0,0,716d783716b3c22f5c13794e5eb575af8f817a533b078467f844cd22e12c5242
108778868994125_122196714998027157,2024-09-10,"I am a therapist and divorced mum, and I am running a free masterclass to show you how. 
Comment 'Class' to sign up.
 #mumanxiety #mumguilt #mumguiltisreal #singlemums #singlemumuk #singlemumlife #solomums #singlemomlife #singlemoms #singlemother #singleparents",multi_share,756,750,0,100,750,0,4,0,0,4,0,0,0,bdebe7402b4fc2be1660a3d60c402215ff1b2ef5d958dd3cff80f3628b49576c
108778868994125_122196491498027157,2024-09-09,"Comment 'Class' and I will send you a link to my exclusive free masterclass. So you can support your kids through divorce in the right way. 
You've got this!
 #singlemums #singlemumuk #singlemumlife #solomums #singlemomlife #singlemoms #singlemother #singleparents #divorcecommunity #lifeafterdivorce #divorcedparents #divorcedmum #divorcedmom #divorce",album,813,806,0,100,806,1,4,6,0,10,0,0,0,d52d87a21b881e7d45b60f08c2a9d03293f1256cbca62eb0ca39fec7c7b6a431
108778868994125_122196257018027157,2024-09-08,"Comment 'CLASS' below and I will DM you an exclusive link to sign up FREE for the live masterclass 👇
#childcentereddivorce #parentinganddivorce #parentingduringdivorce #parentingguide #singleparenting #mumanxiety #mumguilt #mumguiltisreal #divorcecommunity",multi_share,752,751,0,100,751,0,4,0,0,6,0,0,0,b424eda3a0c46dcc3d3f737eff868f3d54df940c18c6551669ecef9a72833c17
108778868994125_122196015728027157,2024-09-07,"Comment 'CLASS' below and I will DM you an exclusive link to sign up FREE for the live masterclass 👇
 #divorcewithkids #separationwithkids #coparenting #supportingchildrenthroughdivorce #childcentereddivorce #parentinganddivorce #parentingduringdivorce",multi_share,690,690,0,100,690,0,5,0,0,4,0,0,0,35ac37da7adb4be7912276f0879430c80c448233cffb23d6a4dfa96f5470c475
108778868994125_122195816756027157,2024-09-06,"Comment 'CLASS' below and I will DM you an exclusive link to sign up FREE for the live masterclass 👇
 #mumanxiety #mumguilt #mumguiltisreal #divorcewithkids #separationwithkids #coparenting #supportingchildrenthroughdivorce #childcentereddivorce #parentinganddivorce #parentingduringdivorce #parentingguide #singleparenting #singlemums",multi_share,664,664,0,100,664,0,3,0,0,2,0,0,0,f1a7889c594d5c4f556cd5b076e5bb2e126cc5549c0514f7491e339240e7bcac
108778868994125_122195606330027157,2024-09-05,"I am running a free masterclass series that will teach you how to get it right for your kids through divorce. Spaces are limited. 
Comment 'Class' to sign up.
 #mumanxiety #mumguilt #mumguiltisreal #divorcecommunity #lifeafterdivorce #divorcedparents #divorcedmum #divorcedmom #divorce #divorcewithkids",album,640,624,0,100,624,4,9,2,0,10,0,0,0,e34b6cdb03700906f883ec57a70f62700c6143cd575939ede4097a71e86063d5
108778868994125_122195376140027157,2024-09-04,"I am running a free masterclass series that will teach you how. Spaces are limited. Comment 'Class' to sign up.
 #divorcewithkids #separationwithkids #coparenting #supportingchildrenthroughdivorce #childcentereddivorce #parentinganddivorce #parentingduringdivorce #parentingguide",multi_share,665,656,0,100,656,0,6,0,0,6,0,0,0,a09ccf863bdf374bcff633b39b89dad7ac487c39ab76eacc34849ceb0c88f08a
108778868994125_122195142278027157,2024-09-03,"Single mums:
I am running a free masterclass series on how to support your children to thrive through divorce.
Comment 'Class' to sign up.
 #divorcecommunity #lifeafterdivorce #divorcedparents #divorcedmum #divorcedmom #divorce #singlemums #singlemumuk #singlemumlife #solomums #singlemomlife #singlemoms #singlemother #singleparents",photo,617,615,0,100,615,0,9,0,0,2,0,0,0,14482fa686b72e053a0bb5927b24df00298c95e67614ee3422977063b7478a26
108778868994125_122194935518027157,2024-09-02,"I don’t know who needs to hear this but divorce doesn’t have to be the end of your child’s happy childhood, it can be the beginning of it…
I am a therapist and divorced mum, and I am running a free masterclass to show you how. Comment 'Class' to sign up. 💖💪

#parentingduringdivorce #parentingguide #singleparenting #singlemums #singlemumuk #singlemumlife #solomums #singlemomlife #singlemoms #singlemother #singleparents",multi_share,512,509,0,100,509,0,4,0,0,2,0,0,0,9a47d2c061c54c73b765d5623f25ae4b6571dd6ad6be7128c7ec6809a6de0cee
108778868994125_122194361294027157,2024-08-31,"8 reminders you need to hear today as a divorced mum:
1. Life is too short to let loneliness drive you back to toxic people
2. Sometimes what didn't work out for you really worked out for you
3. Life is to be lived - not controlled
4. Change is scary, but so is staying the same
5. Some people judge you for changing, other people celebrate you for growing - choose your circle wisely
6. Love yourself instead of loving the idea of other people loving you
7. Just because it's taking time doesn't mean it's not happening
8. Get yourself the support you need to ensure your children thrive. I am running a free masterclass to give you the tools you need. Comment 'Class' and I'll send you a link to sign up

 #divorcecommunity #lifeafterdivorce #divorcedparents #divorcedmum #divorcedmom #divorce #singlemums #singlemumuk #singlemumlife #solomums #singlemomlife #singlemoms #singlemother #singleparents",album,447,445,0,100,445,1,5,10,0,2,0,0,0,0377c70cd564f24c4ad94f6959b0582bb171944edf65ea07a8d3eb0e35ee6d79
108778868994125_122194133432027157,2024-08-30,"I am running a free masterclass to teach you how to ensure this is your story. Comment 'Class' and I will DM you a link. From a therapist and fellow separated mum, you've got this!

#divorcecommunity #lifeafterdivorce #divorcedparents #divorcedmum #divorcedmom #divorce #singlemums #singlemumlife #singlemums #singlemother #singleparents #divorcewithkids",album,352,349,0,100,349,0,2,2,0,0,0,0,0,00c760e8a80d5069cc3e7117e4f7e45cad85a68bfcb9daad143e1ffe00136ac7
108778868994125_122191268534027157,2024-08-16,"8 Reminders for Mums Going Through Divorce
Reminder 1: Take Time for Yourself: Self-care is not selfish; it's essential.
Reminder 2: Seek Support: Don't be afraid to ask for help from friends or professionals.
Reminder 3: Stay Positive: Focus on the new opportunities and growth.
Reminder 4: Communicate: Keep lines of communication open with your children.
Reminder 5:  Be Kind to Yourself: It's okay to have bad days; give yourself grace.
Reminder 6: Stay Organised: Keep important documents and schedules in order.
Reminder 7:  Prioritise Well-being: Make health and wellness a priority for you and your children.
Reminder 8: Look Forward: Focus on building a bright future for you and your family.
You've got this!
#DivorceSupport, #MumLife, #SelfCare #divorcewithkids #separationwithkids #coparenting #supportingchildrenthroughdivorce #childcentereddivorce #parentinganddivorce #parentingduringdivorce #parentingguide #singleparenting #singlemums #singlemumuk #singlemumlife #solomums #singlemomlife #singlemoms #singlemother #singleparents",album,327,326,0,100,326,0,2,1,0,0,0,0,0,bd8e3873efeaaa2388a41fea640e9ce673558df74a7bbb185a264bdc184bc407
108778868994125_122191044386027157,2024-08-15,"The key things you need to do, to process your sadness around your divorce so your kids can too… 
Comment ‘guide’ and I will send you a free step-by-step guide.

#singlemums #singlemumuk #singlemumlife #solomums #singlemomlife #singlemoms #singlemother #coparenting #singleparents #singleparenting #divorcedparents #divorcedmum #divorcedmom #lifeafterdivorce #divorce #divorcecoach #divorcecommunity #divorcewithkids #supportingchrildrenthroughdivorce #separationwithkids #childcentereddivorce #parentinganddivorce #parentingduringdivorce #mumanxiety #parentingguide #mumguilt #mumguiltisreal",multi_share,266,263,0,100,263,0,2,0,0,4,0,0,0,c074924bb72c42dea38eb617af219d47dc56bdfd10802e022f607c23cc547b7f
108778868994125_122190373754027157,2024-08-12,"Reminder:
No matter what your marital status is, a loving, present parent is what your children really need to thrive!

From one separated mum to another, you’ve got this 💖💪

#mumanxiety #mumguilt #mumguiltisreal",photo,208,207,0,100,207,0,5,0,0,0,0,0,0,15bcbe6641eb77a80ac5f5c305c737c1317179126bca3cb8c4c81bfd8f15db2c
108778868994125_122190142622027157,2024-08-11,"""Picture this: Your child in 20 years time, happy, secure and thriving, all because of how you supported them through your divorce.

You've got this, mama!""

#singlemums #singlemumuk #singlemumlife #solomums #singlemomlife #singlemoms #singlemother #singleparents",photo,190,189,0,100,189,0,1,0,0,0,0,0,0,cef98800e1e9efee527ee1354cb4a856d491cd0c36d4a6b623a85030d2f300de
108778868994125_122189787290027157,2024-08-09,"Tears ran down my face as I dropped my son off to his dad, leaving as he cried... 
There has to be another way than this I felt... 
As a therapist, I worked hard to find that other way, a way that helped my son be happy and feel secure...
And now I have cracked it for my son, I want to share what I did with you...
Comment 'Guide' and I will DM you a link to my step-by-step guide.

 #singlemums #singlemumuk #singlemumlife #solomums #singlemomlife #singlemoms #singlemother #coparenting #singleparents #singleparenting #divorcedparents #divorcedmum #divorcedmom #lifeafterdivorce #divorce #divorcecoach #divorcecommunity #divorcewithkids #supportingchrildrenthroughdivorce #separationwithkids #childcentereddivorce #parentinganddivorce #parentingduringdivorce #mumanxiety #parentingguide #mumguilt #mumguiltisreal",multi_share,173,171,0,100,171,0,1,0,0,2,0,0,0,368f6e0207a7d09a005780705581d3de75e3fc72c0d6b847a760b534ff87cbd0
108778868994125_122189588102027157,2024-08-08,"If you snap at your child because you're stressed by everything that motherhood brings, as well as the pressures of divorce... That's normal! You are human and you won't get it right all of the time. What matters is that you make a repair with your child... I am a therapist and a divorced Mum of 2, and this is what I say to repair with my children... I am sorry for speaking in a cross voice. I have my own big feelings and they came out in a cross voice. I am sure that felt scary and sad for you. It's not your fault. I love you so much. Remember: Good mums don't get it right all the time... Good mums repair!""

#singlemums #singlemumuk #singlemumlife #solomums #singlemomlife #singlemoms #singlemother #coparenting #singleparents #singleparenting #divorcedparents #divorcedmum #divorcedmom #lifeafterdivorce #divorce #divorcecoach #divorcecommunity #divorcewithkids #supportingchrildrenthroughdivorce #separationwithkids #childcentereddivorce #parentinganddivorce #parentingduringdivorce #mumanxiety #parentingguide #mumguilt #mumguiltisreal",multi_share,151,151,0,100,151,0,3,0,0,0,0,0,0,c1e601318f1125b91fa4216d99ba88de12860a54552c6b8a8643f88e68c45a61
108778868994125_122189140364027157,2024-08-06,"Reminder:

No matter what your marital status is, a loving, present parent is what your children really need to thrive!

From one separated mum to another, you’ve got this 💖💪

#mumanxiety #mumguilt #mumguiltisreal",photo,131,131,0,100,131,0,2,0,0,0,0,0,0,948b4232bf58da537e582efde478a9acc5d5fbfe57371b2c60a4392e50d45998
108778868994125_122188718684027157,2024-08-04,"It can be really hard when our kids start to talk about our divorce to their friends...
It means other parents might know about our divorce before we are ready...
This can bring up huge feelings of not being a good enough mum, shame and failure...
If you are in this camp, I have been there...
It gets easier and this is not your story, it is just part of your story.
You've got this!

#mumanxiety #mumguilt #mumguiltisreal",album,119,118,0,100,118,0,1,1,0,0,0,0,0,757146fb2ba49a8825790b1f5154a98ac56f2dd088f86a7d2ce6fe5d6f7a4acb
108778868994125_122188490912027157,2024-08-03,"When I was a kid and my parents got divorced, I witnessed my Mum transformed... She became dedicated to self-care, self-development and healing herself... I watched her get a job, find herself, meet her own needs and thrive as a parent and human... There were definitely hard times, lots of tears and I was hurting over my parents divorce ... But one of the best gifts my parents divorce gave me, was seeing my mum thrive into the person she is today, and teach me about self-care, self-love, boundaries and what healthy relationship looks like. To all of the separated Mum's out there, remember that your strength and the lessons you teach your children through your divorce, can far outweigh the negatives! Keep going! You've got this!

#singlemums #singlemumuk #singlemumlife #solomums #singlemomlife #singlemoms #singlemother #coparenting #singleparents #singleparenting #divorcedparents #divorcedmum #divorcedmom #lifeafterdivorce #divorce #divorcecoach #divorcecommunity #divorcewithkids #supportingchrildrenthroughdivorce #separationwithkids #childcentereddivorce #parentinganddivorce #parentingduringdivorce #mumanxiety #parentingguide #mumguilt #mumguiltisreal",album,113,113,0,100,113,0,1,1,0,0,0,0,0,b5057c50cf87c67a7690b078b95e33d75f715b27e35e53cdd681d52cae150f7f
108778868994125_122188094858027157,2024-08-01,"I don't know how to co-parent with him because he is so triggering to me & is such a different person now.
It feels awful & overwhelming just thinking about it.
Co-parenting with the person you're healing from is hard. Especially because that person has most likely changed so much from who you once loved. It makes it even more overwhelming if:

*   he is high conflict & mean
*   if there is a new girlfriend in the picture
*   if you're going through court stuff-custody, money, etc

Stop the overwhelm by focusing on what you can control.
This will leave more emotional energy for you and your child, which is what really matters. 
You've got this!

#divorcewithkids #separationwithkids #coparenting #supportingchildrenthroughdivorce #childcentereddivorce #parentinganddivorce #parentingduringdivorce #parentingguide #singleparenting",album,100,100,0,100,100,0,3,7,0,0,0,0,0,5eaaa20ed638eeb155bf7d31e3815b46c25fc9a90a0e8ec127e23967d80ad816
108778868994125_122187822644027157,2024-07-31,"It can be really hard when our kids start to talk about our divorce to their friends...
It means other parents might know about our divorce before we are ready...
This can bring up huge feelings of not being a good enough mum, shame and failure...
If you are in this camp, I have been there...
It gets easier and this is not your story, it is just part of your story.
You've got this!

#mumanxiety #mumguilt #mumguiltisreal",album,71,71,0,100,71,0,2,0,0,0,0,0,0,f77368aef59cebc8caf0f419ad38cb060f82ce1b6a07c8206fd95fa8e6ab3e67
108778868994125_122187428210027157,2024-07-29,"I don’t know who needs to hear this but divorce doesn’t have to be the end of your child’s happy childhood, it can be the beginning of it…

From one separated mum to another, you’ve got this 💖💪

#singlemums #singlemumuk #singlemumlife #solomums #singlemomlife #singlemoms #singlemother #singleparents",photo,75,75,0,100,75,0,3,0,0,0,0,0,0,39f967f2a6e064c448ad4b4f2cd26e90aa9cec8fbee8c9822b96bd42af19e79d
108778868994125_122187291944027157,2024-07-28,"8 reminders you need to hear today as a divorced mum:
1. Life is too short to let loneliness drive you back to toxic people
2. Sometimes what didn't work out for you really worked out for you
3. Life is to be lived - not controlled
4. Change is scary, but so is staying the same
5. Some people judge you for changing, other people celebrate you for growing - choose your circle wisely
6. Love yourself instead of loving the idea of other people loving you
7. Just because it's taking time doesn't mean it's not happening
8. Your whole life can change in one year, make this the one

#singlemums #singlemumuk #singlemumlife #solomums #singlemomlife #singlemoms #singlemother #coparenting #singleparents #singleparenting #divorcedparents #divorcedmum #divorcedmom #lifeafterdivorce #divorce #divorcecoach #divorcecommunity #divorcewithkids #supportingchrildrenthroughdivorce #separationwithkids #childcentereddivorce #parentinganddivorce #parentingduringdivorce #mumanxiety #parentingguide #mumguilt #mumguiltisreal",album,80,80,0,100,80,0,1,1,0,1,0,0,0,05472f83b2b43eea5b5a53ff92168be351c9d9065fbda10bcbba27bc90355c53
108778868994125_122187087104027157,2024-07-27,"Co-parent living rent free in your head?...
I know the emotional toll this takes and how draining it is...
The only way to take back control is to focus on the things you can control...
You've got this!

#singlemums #singlemumuk #singlemumlife #solomums #singlemomlife #singlemoms #singlemother #coparenting #singleparents #singleparenting #divorcedparents #divorcedmum #divorcedmom #lifeafterdivorce #divorce #divorcecoach #divorcecommunity #divorcewithkids #supportingchrildrenthroughdivorce #separationwithkids #childcentereddivorce #parentinganddivorce #parentingduringdivorce #mumanxiety #parentingguide #mumguilt #mumguiltisreal",multi_share,57,57,0,100,57,0,1,0,0,0,0,0,0,aad0652feca2ca9d5ca81a3294dd2f4bfc837fbfcf237a7bc6ec67904bde0a56
