Date,Media ID,Media caption,Media product type,Media impressions,Media reach,Like count,Comments count,Shares,Unique saves,Video views,RowHash
09/01/2025,17987672999772081,"Comment ‘CLASS’ to sign up to my free masterclass series! 
Breaking down what your child needs to thrive through your divorce. 

You’ve got this muma! 💖💪

#singlemums #singlemumsuk #singlemumuk #singlemumlife #solomums #singlemomlife #singlemoms #singlemother #coparenting #singleparents #singleparenting #divorcedparents #divorcedmum #divorcedmom #lifeafterdivorce #divorce #divorcecoach #divorcecommunity #divorcewithkids #supportingchrildrenthroughdivorce #separationwithkids #childcentereddivorce #parentinganddivorce #parentingduringdivorce #mumanxiety #parentingguide #mumguilt #mumguiltisreal",REELS,0,969,8,16,1,6,0,96486a2cfbeb4b857535a168ec197d92e0c29935cb6feb3032882cd74876be3a
08/01/2025,17906854434082351,"Comment ‘CLASS’ to sign up to my free masterclass series! 
Breaking down what your child needs to thrive through your divorce. 

You’ve got this muma! 💖💪

#singlemums #singlemumsuk #singlemumuk #singlemumlife #solomums #singlemomlife #singlemoms #singlemother #coparenting #singleparents #singleparenting #divorcedparents #divorcedmum #divorcedmom #lifeafterdivorce #divorce #divorcecoach #divorcecommunity #divorcewithkids #supportingchrildrenthroughdivorce #separationwithkids #childcentereddivorce #parentinganddivorce #parentingduringdivorce #mumanxiety #parentingguide #mumguilt #mumguiltisreal",FEED,1840,1698,15,25,0,10,0,936b6702656e6d8b3eb715d2f8d6e85a72eb0f6d36756e8629fed4ac395d489b
07/01/2025,18092145148519991,"Comment ‘CLASS’ to sign up to my free masterclass series! 
Breaking down what your child needs to thrive through your divorce. 

You’ve got this muma! 💖💪

#singlemums #singlemumsuk #singlemumuk #singlemumlife #solomums #singlemomlife #singlemoms #singlemother #coparenting #singleparents #singleparenting #divorcedparents #divorcedmum #divorcedmom #lifeafterdivorce #divorce #divorcecoach #divorcecommunity #divorcewithkids #supportingchrildrenthroughdivorce #separationwithkids #childcentereddivorce #parentinganddivorce #parentingduringdivorce #mumanxiety #parentingguide #mumguilt #mumguiltisreal",FEED,3728,3504,143,43,0,58,0,4845a6203e0cf5a47eda6303d9791b6e01d1210af05a968ed3cdb7f84938324c
06/01/2025,17871789783257881,"Comment ‘CLASS’ to sign up to my free masterclass series! 
Breaking down what your child needs to thrive through your divorce. 

You’ve got this muma! 💖💪

#singlemums #singlemumsuk #singlemumuk #singlemumlife #solomums #singlemomlife #singlemoms #singlemother #coparenting #singleparents #singleparenting #divorcedparents #divorcedmum #divorcedmom #lifeafterdivorce #divorce #divorcecoach #divorcecommunity #divorcewithkids #supportingchrildrenthroughdivorce #separationwithkids #childcentereddivorce #parentinganddivorce #parentingduringdivorce #mumanxiety #parentingguide #mumguilt #mumguiltisreal",REELS,0,2219,34,50,0,17,0,d4e9449b478eb76c2555c24e3d316296ffa7582ac8d769736498c69fbeca6139
05/01/2025,18027820466540078,"Comment ‘CLASS’ to sign up to my free masterclass series! Breaking down what your child needs to thrive through your divorce. 

You’ve got this muma! 💖💪

#singlemums #singlemumsuk #singlemumuk #singlemumlife #solomums #singlemomlife #singlemoms #singlemother #coparenting #singleparents #singleparenting #divorcedparents #divorcedmum #divorcedmom #lifeafterdivorce #divorce #divorcecoach #divorcecommunity #divorcewithkids #supportingchrildrenthroughdivorce #separationwithkids #childcentereddivorce #parentinganddivorce #parentingduringdivorce #mumanxiety #parentingguide #mumguilt #mumguiltisreal",REELS,0,5239,126,273,1,62,0,54cd6fdbcea81b3500dafc7e19ce72e91be3045c5404645a4532940273e9b272
22/12/2024,18079823920523131,"If 2024 felt hard, know that every day you are taking a step forward to a life that you and your kids can thrive in. 2025 is your come-back year!

You’ve got this muma! 💖💪

#singlemums #singlemumsuk #singlemumuk #singlemumlife #solomums #singlemomlife #singlemoms #singlemother #coparenting #singleparents #singleparenting #divorcedparents #divorcedmum #divorcedmom #lifeafterdivorce #divorce #divorcecoach #divorcecommunity #divorcewithkids #supportingchrildrenthroughdivorce #separationwithkids #childcentereddivorce #parentinganddivorce #parentingduringdivorce #mumanxiety #parentingguide #mumguilt #mumguiltisreal",REELS,0,8201,317,4,54,168,0,d31113dbc6c289245bbaa379eb09f08816941af3049002be17ce66b4b5c8b7de
13/12/2024,17951448236894935,"Comment ‘podcast’ and I’ll send you a link to listen to my Christmas episode, all about how to get through Christmas when you don’t have your children with you as a divorced mum who’s coparenting. 

You’ve got this muma! 💖💪

#singlemums #singlemumsuk #singlemumuk #singlemumlife #solomums #singlemomlife #singlemoms #singlemother #coparenting #singleparents #singleparenting #divorcedparents #divorcedmum #divorcedmom #lifeafterdivorce #divorce #divorcecoach #divorcecommunity #divorcewithkids #supportingchrildrenthroughdivorce #separationwithkids #childcentereddivorce #parentinganddivorce #parentingduringdivorce #mumanxiety #parentingguide #mumguilt #mumguiltisreal",REELS,0,1961,51,33,1,9,0,2c5c79c74e12bdd1f41c2b33117d2a7c5a9bc37924c6bfc7b0d46516f3faaf74
05/12/2024,17848240302329240,"Comment ‘GUIDE’ and I’ll send you a link to a free therapist-written guide on how to support your child when they feel anxious.

You’ve got this muma! 💖💪

#singlemums #singlemumsuk #singlemumuk #singlemumlife #solomums #singlemomlife #singlemoms #singlemother #coparenting #singleparents #singleparenting #divorcedparents #divorcedmum #divorcedmom #lifeafterdivorce #divorce #divorcecoach #divorcecommunity #divorcewithkids #supportingchrildrenthroughdivorce #separationwithkids #childcentereddivorce #parentinganddivorce #parentingduringdivorce #mumanxiety #parentingguide #mumguilt #mumguiltisreal",REELS,0,3672,82,199,1,51,0,bc6104c9dcd30c180595c69ad6ed208c6425f5ac9fad993856345324c0bafe17
03/12/2024,17997492398710485,"Active listening is the most powerful way to increase the bond between you and your child. 

You’ve got this muma! 💖💪

#singlemums #singlemumsuk #singlemumuk #singlemumlife #solomums #singlemomlife #singlemoms #singlemother #coparenting #singleparents #singleparenting #divorcedparents #divorcedmum #divorcedmom #lifeafterdivorce #divorce #divorcecoach #divorcecommunity #divorcewithkids #supportingchrildrenthroughdivorce #separationwithkids #childcentereddivorce #parentinganddivorce #parentingduringdivorce #mumanxiety #parentingguide #mumguilt #mumguiltisreal",REELS,0,2270,31,0,0,23,0,f7d2e1c62c6a6403e33b06e0744d050abda51d8d484df15da83979d2b09aeae5
30/11/2024,18046513652282758,"If your child says they love their other parent more than they love you. Instead of taking offence, allow space for them to express their feelings and hear it as a call to action. 

They want to feel more connected to you and you need to be the one to create that connection. 

You’ve got this muma! 💖💪

#singlemums #singlemumsuk #singlemumuk #singlemumlife #solomums #singlemomlife #singlemoms #singlemother #coparenting #singleparents #singleparenting #divorcedparents #divorcedmum #divorcedmom #lifeafterdivorce #divorce #divorcecoach #divorcecommunity #divorcewithkids #supportingchrildrenthroughdivorce #separationwithkids #childcentereddivorce #parentinganddivorce #parentingduringdivorce #mumanxiety #parentingguide #mumguilt #mumguiltisreal",REELS,0,3402,58,2,1,29,0,6ce5767cf4a38590c1c098d0cf58891dd3ad7a6871bf3704753c8d5dd8943077
28/11/2024,17927643506978216,"Who’s the person that’s been there for you more than they know this year?

You’ve got this muma! 💖💪

#singlemums #singlemumsuk #singlemumuk #singlemumlife #solomums #singlemomlife #singlemoms #singlemother #coparenting #singleparents #singleparenting #divorcedparents #divorcedmum #divorcedmom #lifeafterdivorce #divorce #divorcecoach #divorcecommunity #divorcewithkids #supportingchrildrenthroughdivorce #separationwithkids #childcentereddivorce #parentinganddivorce #parentingduringdivorce #mumanxiety #parentingguide #mumguilt #mumguiltisreal",REELS,0,2014,24,5,3,11,0,dd7f72939fef0429e8299e81128aa43db380d4d49cbfd8eb6cdb48bbe3ecc27f
21/11/2024,17876292222207818,"I don’t know who needs to hear this but divorce doesn’t have to be the end of your child’s happy childhood, it can be the beginning of it…
I am a therapist and divorced mum, and I am running a free masterclass to show you how. Comment 'Class' to sign up. 💖💪

 #mumanxiety #mumguilt #mumguiltisreal #divorcewithkids #separationwithkids #coparenting #supportingchildrenthroughdivorce #childcentereddivorce #parentinganddivorce #parentingduringdivorce #parentingguide #singleparenting #singlemums #singlemumuk #singlemumlife",REELS,0,5228,121,159,4,41,0,d5a64d6b71601d5cd28d1d28f290e003f786a3f02adb602bb396aa9572f99245
21/11/2024,17875686192206247,"Comment ‘TEST’ and I’ll send you a link to my free personality test! Answered by you to give you insight on how your child’s brain works and how to support them based on that. Breaking down what your child needs to thrive through your divorce. 

You’ve got this muma! 💖💪

#singlemums #singlemumsuk #singlemumuk #singlemumlife #solomums #singlemomlife #singlemoms #singlemother #coparenting #singleparents #singleparenting #divorcedparents #divorcedmum #divorcedmom #lifeafterdivorce #divorce #divorcecoach #divorcecommunity #divorcewithkids #supportingchrildrenthroughdivorce #separationwithkids #childcentereddivorce #parentinganddivorce #parentingduringdivorce #mumanxiety #parentingguide #mumguilt #mumguiltisreal",REELS,0,900,15,32,1,9,0,7e2cc1bdc6f4418de071ed48376ed3b39970a1a121bbd519668dd3b3a970bf5f
20/11/2024,18019595006335480,"When I was a kid and my parents got divorced, I witnessed my Mum transformed... She became dedicated to self-care, self-development and healing herself... I watched her get a job, find herself, meet her own needs and thrive as a parent and human... There were definitely hard times, lots of tears and I was hurting over my parents divorce... But one of the best gifts my parents divorce gave me, was seeing my mum thrive into the person she is today, and teach me about self-care, self-love, boundaries and what healthy relationship looks like. I am running a free masterclass to teach you how to ensure this is your story. Comment 'Class' and I will DM you a link. From a therapist and fellow separated mum, you've got this!

 #divorcecommunity #lifeafterdivorce #divorcedparents #divorcedmum #divorcedmom #divorce #mumanxiety #mumguilt #mumguiltisreal #divorcewithkids #separationwithkids #coparenting #supportingchildrenthroughdivorce #childcentereddivorce #parentinganddivorce #parentingduringdivorce #parentingguide #singleparenting",REELS,0,1175,27,12,0,12,0,ca11b0e312ecea90b40d3a7fbf53ab1010d1738304931786b9a83d743fa8c2f4
19/11/2024,18121550719398060,"Comment ‘TEST’ and I’ll send you a link to my free personality test! Answered by you to give you insight on how your child’s brain works and how to support them based on that. Breaking down what your child needs to thrive through your divorce. 

You’ve got this muma! 💖💪

#singlemums #singlemumsuk #singlemumuk #singlemumlife #solomums #singlemomlife #singlemoms #singlemother #coparenting #singleparents #singleparenting #divorcedparents #divorcedmum #divorcedmom #lifeafterdivorce #divorce #divorcecoach #divorcecommunity #divorcewithkids #supportingchrildrenthroughdivorce #separationwithkids #childcentereddivorce #parentinganddivorce #parentingduringdivorce #mumanxiety #parentingguide #mumguilt #mumguiltisreal",REELS,0,967,21,40,0,14,0,096343bf1d070c68d72b16ea3011cdd2aa47c729f10d5b0032c36d2848654b79
19/11/2024,18049170218056179,"Comment 'CLASS' below and I will DM you an exclusive link to sign up FREE for the live masterclass 👇

 #singlemums #singlemumuk #singlemumlife #solomums #singlemomlife #singlemoms #singlemother #singleparents #divorcewithkids #separationwithkids #coparenting #supportingchildrenthroughdivorce #childcentereddivorce #parentinganddivorce",REELS,0,3019,49,114,1,26,0,8a24da744e5c00a9e6c2a60a91b4d3a5bf7dc4ec64ea9fd0078f24b7551a02db
18/11/2024,18041689202156866,"I HOPE MY DAUGHTER DOESN'T ACCEPT THINGS I'VE ACCEPTED, THAT SHE KNOWS HER WORTH FROM THE START AND KNOWS SHE ALWAYS HAS ME IN HER CORNER.
I am a therapist and divorced mum, and I am running a free masterclass to show you how.
Comment 'Class' to sign up.

 #divorcecommunity #lifeafterdivorce #divorcedparents #divorcedmum #divorcedmom #divorce #mumanxiety #mumguilt #mumguiltisreal",FEED,2799,2552,162,18,0,56,0,972a1e8f5a7aa400236e9f6ae86ee8ba62488e66109dd94624960ade12ee686f
17/11/2024,18014677454392667,"Comment 'CLASS' below and I will DM you an exclusive link to sign up FREE for the live masterclass 👇

 #mumanxiety #mumguilt #mumguiltisreal #divorcewithkids #separationwithkids #coparenting #supportingchildrenthroughdivorce #childcentereddivorce #parentinganddivorce #parentingduringdivorce #parentingguide #singleparenting #singlemums #singlemumuk #singlemumlife #solomums #singlemomlife #singlemoms #singlemother",FEED,1692,1543,29,24,0,25,0,90ae5350d45fa85abd678f7e979c31467a7cfee3d6ae04240ce57bc635ceaa15
16/11/2024,18077447254583656,"8 reminders you need to hear today as a divorced mum:
1. Life is too short to let loneliness drive you back to toxic people
2. Sometimes what didn't work out for you really worked out for you
3. Life is to be lived - not controlled
4. Change is scary, but so is staying the same
5. Some people judge you for changing, other people celebrate you for growing - choose your circle wisely
6. Love yourself instead of loving the idea of other people loving you
7. Just because it's taking time doesn't mean it's not happening
8. Get yourself the support you need to ensure your children thrive. I am running a free masterclass to give you the tools you need. 
Comment 'Class' and I'll send you a link to sign up!

 #divorcecommunity #lifeafterdivorce #divorcedparents #divorcedmum #divorcedmom #divorce #singlemums #singlemumuk #singlemumlife #solomums #singlemomlife #singlemoms #singlemother #singleparents",FEED,9096,8063,430,40,0,197,0,49d7c44fe51fcba432d743f096c8b1e73494959e48e49d07910aa3cb8c9b3ee6
15/11/2024,17998157399701918,"Single mums:
I am running a free masterclass series on how to support your children to thrive through divorce.
Comment 'Class' to sign up.

 #divorcecommunity #lifeafterdivorce #divorcedparents #divorcedmum #divorcedmom #divorce #singlemums #singlemumuk #singlemumlife #solomums #singlemomlife #singlemoms #singlemother",FEED,1475,1404,20,34,0,6,0,ca3b48863a63023c41ec690563234beb89477c18b6029cadc32276b31b64cba6
14/11/2024,18024620363250346,"If you snap at your child because you're stressed by everything that motherhood brings, as well as the pressures of divorce... That's normal! You are human and you won't get it right all of the time. What matters is that you make a repair with your child... I am a therapist and a divorced Mum of 2, and this is what I say to repair with my children... I am sorry for speaking in a cross voice. I have my own big feelings and they came out in a cross voice. I am sure that felt scary and sad for you. It's not your fault. I love you so much.
Remember: Good mums don't get it right all the time... Good mums repair!""

I am running a free masterclass series that will teach you how to get it right for your kids through divorce. Spaces are limited.
Comment 'Class' to sign up.

 #singlemums #singlemumuk #singlemumlife #solomums #singlemomlife #singlemoms #singlemother #singleparents #divorcewithkids #separationwithkids #coparenting #supportingchildrenthroughdivorce #childcentereddivorce #parentinganddivorce",FEED,2635,2454,58,19,0,55,0,31ac7438ec1f1cf9fce661db1822e89b7b67f0b8a6ec60aa99436aabe6c1db49
13/11/2024,17984941109767323,"I don’t know who needs to hear this but divorce doesn’t have to be the end of your child’s happy childhood, it can be the beginning of it…
I am a therapist and divorced mum, and I am running a free masterclass to show you how. Comment 'Class' to sign up. 💖💪

 #mumanxiety #mumguilt #mumguiltisreal #divorcecommunity #lifeafterdivorce #divorcedparents #divorcedmum #divorcedmom #divorce",FEED,2517,2332,94,66,0,34,0,bd26ab4d1d64a5c1987f9c0ee90ae56895edfe768927db8fef027f811cc69194
12/11/2024,18024479765446917,"When I was a kid and my parents got divorced, I witnessed my Mum transformed... She became dedicated to self-care, self-development and healing herself... I watched her get a job, find herself, meet her own needs and thrive as a parent and human... There were definitely hard times, lots of tears and I was hurting over my parents divorce... But one of the best gifts my parents divorce gave me, was seeing my mum thrive into the person she is today, and teach me about self-care, self-love, boundaries and what healthy relationship looks like. I am running a free masterclass to teach you how to ensure this is your story. 
Comment 'Class' and I will DM you a link. 
From a therapist and fellow separated mum, you've got this!

 #mumanxiety #mumguilt #mumguiltisreal #singlemums #singlemumuk #singlemumlife #solomums #singlemomlife #singlemoms #singlemother #singleparents",FEED,5276,4684,262,114,0,106,0,55f85776f16fe38f21a788ff77ec10aa77154f4d5bb4ec1e516882ca93ccb7e8
11/11/2024,18025300646448198,"Divorce Transformed My Mum... She became dedicated to self-care, self-development and healing herself... I watched her get a job, find herself, meet her own needs and thrive as a parent and human... There were definitely hard times, lots of tears and I was hurting over my parents divorce... But one of the best gifts my parents divorce gave me, was seeing my mum thrive into the person she is today, and teach me about self-care, self-love, boundaries and what healthy relationship looks like. To all of the separated Mum’s out there, remember that your strength and the lessons you teach your children through your divorce, can far outweigh the negatives! Keep going! You’ve got this!
Comment 'Class' for my free masterclass.

 #mumanxiety #mumguilt #mumguiltisreal #singlemums #singlemumuk #singlemumlife #solomums #singlemomlife #singlemoms #singlemother #singleparents #supportingchildrenthroughdivorce #childcentereddivorce #parentinganddivorce #parentingduringdivorce #parentingguide #singleparenting",REELS,0,3131,93,20,1,50,0,4cbf181ece5d0677d431f1caf857f0e271ccfa9ecc65994094f006279c27890c
10/11/2024,18048272566843979,"Comment 'CLASS' below and I will DM you an exclusive link to sign up FREE for the live masterclass 👇 

#divorcecommunity #lifeafterdivorce #divorcedparents #divorcedmum #divorcedmom #divorce #mumanxiety #mumguilt #mumguiltisreal",FEED,3068,2827,46,98,0,40,0,d5f3224ec82f120bca94102b32c8079f292facbb8cd8cfbc849cec403d165048
09/11/2024,18281861011173718,"If you snap at your child because you're stressed by everything that motherhood brings, as well as the pressures of divorce... That's normal! You are human and you won't get it right all of the time. What matters is that you make a repair with your child... I am a therapist and a divorced Mum of 2, and this is what I say to repair with my children... I am sorry for speaking in a cross voice. I have my own big feelings and they came out in a cross voice. I am sure that felt scary and sad for you. It's not your fault. I love you so much.
Remember: Good mums don't get it right all the time... Good mums repair!""
I am running a free masterclass series that will teach you how to get it right for your kids through divorce. Spaces are limited.
Comment 'Class' to sign up.

 #divorcecommunity #lifeafterdivorce #divorcedparents #divorcedmum #divorcedmom #divorce #mumanxiety #mumguilt #mumguiltisreal #singlemums #singlemumuk #singlemumlife #solomums #singlemomlife #singlemoms #singlemother #singleparents",REELS,0,2681,104,38,1,55,0,d75e03444e7f0e51321d30d1bb2dc795116519e26590285b8c6cdad1713ee5d2
04/11/2024,17846658567340742,"Comment ‘CLASS’ to sign up to my free masterclass series! Breaking down what your child needs to thrive through your divorce. 

You’ve got this muma! 💖💪

#singlemums #singlemumsuk #singlemumuk #singlemumlife #solomums #singlemomlife #singlemoms #singlemother #coparenting #singleparents #singleparenting #divorcedparents #divorcedmum #divorcedmom #lifeafterdivorce #divorce #divorcecoach #divorcecommunity #divorcewithkids #supportingchrildrenthroughdivorce #separationwithkids #childcentereddivorce #parentinganddivorce #parentingduringdivorce #mumanxiety #parentingguide #mumguilt #mumguiltisreal",REELS,0,1837,40,56,2,97,0,94e34624be5f032a40957184c0daa4d242b052fab17a4c44bf46614e8f3c9e1c
02/11/2024,18283328140241715,"Comment ‘CLASS’ to sign up to my free masterclass series T hat will break down what your child needs to thrive through your divorce. 

You’ve got this muma! 💖💪

#singlemums #singlemumsuk #singlemumuk #singlemumlife #solomums #singlemomlife #singlemoms #singlemother #coparenting #singleparents #singleparenting #divorcedparents #divorcedmum #divorcedmom #lifeafterdivorce #divorce #divorcecoach #divorcecommunity #divorcewithkids #supportingchrildrenthroughdivorce #separationwithkids #childcentereddivorce #parentinganddivorce #parentingduringdivorce #mumanxiety #parentingguide #mumguilt #mumguiltisreal",REELS,0,2811,78,93,4,125,0,f07c88d4f4800b2cf427835a603174fb3e94728843fd96afafb3ebee2a6e6a93
22/10/2024,18167401450314418,"Comment 'CLASS' below and I will DM you an exclusive link to sign up FREE for the live masterclass 👇 

#divorcecommunity #lifeafterdivorce #divorcedparents #divorcedmum #divorcedmom #divorce #mumanxiety #mumguilt #mumguiltisreal",FEED,3895,3827,76,177,0,64,0,76b56bbdc9ddf7f9e8179420f3436ec5dec0791dc4bb171db88f5da77a7e1788
10/09/2024,18109557286408102,"I HOPE MY DAUGHTER DOESN'T ACCEPT THINGS I'VE ACCEPTED, THAT SHE KNOWS HER WORTH FROM THE START AND KNOWS SHE ALWAYS HAS ME IN HER CORNER.
I am a therapist and divorced mum, and I am running a free masterclass to show you how. 
Comment 'Class' to sign up.

 #mumanxiety #mumguilt #mumguiltisreal #singlemums #singlemumuk #singlemumlife #solomums #singlemomlife #singlemoms #singlemother #singleparents",FEED,4797,4307,229,43,0,66,0,c7d17547301ec9fa69f6118b6466121a984596ce02565dbfddba82c1404653e4
09/09/2024,17851227285275913,"Here's a story about how I helped my kids thrive through divorce...
I focused on what I can control...
I surrounded myself with people who could support me...
And I made a step-by-step guide of what my kids needed to feel secure, BUT...
You don't have to make this guide, because I want to share mine with you, I am a therapist and it brought so much security to my kids lives...
Comment 'Class' and I will send you a link to my exclusive free masterclass. So you can support your kids through divorce in the right way. 
You've got this!

 #singlemums #singlemumuk #singlemumlife #solomums #singlemomlife #singlemoms #singlemother #singleparents #divorcecommunity #lifeafterdivorce #divorcedparents #divorcedmum #divorcedmom #divorce",FEED,2250,2085,41,54,0,20,0,453124712371442963feab2589307562779363414ff0dc4196639bc54d942bec
